0,0,0,0
2,0,0,0
4,0,0,0
6,0,0,0
8,0,0,0
10,0,0,0
12,0,0,0
14,0,0,0
16,0,0,0
18,0,0,0
20,0,0,0
22,0,0,0
24,0,0,0
26,0,0,0
28,0,0,0
30,0,0,0
32,0,0,0
34,0,0,0
36,0,0,0
38,0,0,0
40,0,0,0
42,0,0,0
44,0,0,0
46,0,0,0
48,0,0,0
50,0,0,255
52,0,0,255
54,1,1,255
56,1,1,255
58,2,3,255
60,4,4,255
62,6,7,255
64,9,8,255
66,11,11,255
68,14,14,255
70,17,17,255
72,21,20,255
74,24,24,255
76,28,28,255
78,32,32,255
80,36,37,255
82,40,41,255
84,44,46,255
86,49,51,255
88,53,55,255
90,58,61,255
92,64,67,255
94,69,71,255
96,74,78,255
98,81,84,255
100,86,91,255
102,93,97,255
104,100,103,255
106,107,111,255
108,114,117,255
110,121,124,255
112,129,131,255
114,137,139,255
116,144,147,255
118,152,154,255
120,160,161,255
122,168,169,255
124,176,177,255
126,184,186,-200
128,192,194,-200
130,198,201,-200
132,206,208,-200
134,213,215,-200
136,218,221,-200
138,224,227,-200
140,229,232,-200
142,234,237,-200
144,238,241,-200
146,242,245,-200
148,245,249,-200
150,248,252,-200
152,250,255,-200
154,253,259,-200
156,254,261,-200
158,257,263,-200
160,258,265,-200
162,259,267,-200
164,260,267,-200
166,261,268,-200
168,261,269,-200
170,260,269,-200
172,260,267,-200
174,258,267,-200
176,257,266,-200
178,254,263,-200
180,253,262,-200
182,250,259,-200
184,248,257,-200
186,245,255,-200
188,242,251,-200
190,240,247,-200
192,237,244,-200
194,234,240,-200
196,232,236,-200
198,228,232,-200
200,225,227,50
202,221,223,50
204,217,219,50
206,214,215,50
208,210,212,50
210,208,209,50
212,205,207,50
214,202,203,50
216,200,201,50
218,198,199,50
220,196,196,50
222,194,195,50
224,193,193,50
226,190,191,50
228,189,189,50
230,188,187,50
232,186,187,50
234,185,185,50
236,185,183,50
238,184,183,50
240,182,182,50
242,182,181,50
244,181,180,50
246,181,179,50
248,181,179,50
250,181,179,0
252,181,179,0
254,181,179,0
256,181,179,0
258,181,179,0
260,181,179,0
262,181,179,0
264,181,179,0
266,181,179,0
268,181,179,0
270,181,179,0
272,181,179,0
274,181,179,0
276,181,179,0
278,181,179,0
280,181,179,0
282,181,179,0
284,181,179,0
286,181,179,0
288,181,179,0
290,181,179,0
292,181,179,0
294,181,179,0
296,181,179,0
298,181,179,0
